Date,Symbol,Open,High,Low,Volume From,Volume To,Close
11/25/2016,BTCUSD,737.99,741.75,730.25,1688.61,1242725.97,741.28
11/26/2016,BTCUSD,741.28,742.54,724.49,530.09,389579.1,736.45
11/27/2016,BTCUSD,736.45,736.45,728.35,1412.81,1035273.66,728.35
11/28/2016,BTCUSD,728.35,734.6,724.81,2569.57,1880058.35,732.99
11/29/2016,BTCUSD,732.99,735.36,731.88,1990.72,1460133.43,732.36
11/30/2016,BTCUSD,732.36,745.5,732.36,2238.84,1657189.75,742.11
12/1/2016,BTCUSD,742.11,757,742.11,2099.74,1578190.18,753.99
12/2/2016,BTCUSD,753.99,777.05,753.99,3228.92,2483261.19,774.14
12/3/2016,BTCUSD,774.14,774.98,760.51,1289.54,991356.63,766.47
12/4/2016,BTCUSD,766.47,769.97,763.02,505.16,386967.48,765.69
12/5/2016,BTCUSD,765.69,765.99,743.73,2312.42,1743529.82,754.88
12/6/2016,BTCUSD,754.88,759.38,752.13,2224.64,1683436.88,758.99
12/7/2016,BTCUSD,758.99,769.98,752.24,2370.27,1817145.95,765.49
12/8/2016,BTCUSD,765.49,772.46,762.5,1913.75,1468737.46,768.68
12/9/2016,BTCUSD,768.68,773.35,764.5,2011.33,1549362.29,770.1
12/10/2016,BTCUSD,770.1,775.99,769.14,777.89,601424.17,771.79
12/11/2016,BTCUSD,771.79,771.79,765.28,573.24,440245.09,769.44
12/12/2016,BTCUSD,769.44,780.8,769.44,1895.97,1472893.72,779.65
12/13/2016,BTCUSD,779.65,790.84,768.26,2543.27,1983054.61,780.64
12/14/2016,BTCUSD,780.64,780.99,772.61,2177.1,1691510.2,774.84
12/15/2016,BTCUSD,774.84,780.25,774.55,3988.66,3100862.14,775.18
12/16/2016,BTCUSD,775.18,782.47,774.16,2846.87,2218125.6,782.47
12/17/2016,BTCUSD,782.47,791.13,782.47,815.32,642319.59,789.39
12/18/2016,BTCUSD,789.39,790.28,785.71,541.47,427042.57,790.12
12/19/2016,BTCUSD,790.12,790.99,785.1,2835.51,2236338.92,790.2
12/20/2016,BTCUSD,790.2,800.88,788.11,2592.49,2052476.66,800.88
12/21/2016,BTCUSD,800.88,829.09,796.89,3842.51,3144178.47,826.21
12/22/2016,BTCUSD,826.21,871.36,826.15,4242.1,3636380.41,859
12/23/2016,BTCUSD,859,919.23,858.37,4465.5,3994223.23,919.23
12/24/2016,BTCUSD,919.23,923.47,886.08,1010.86,913468.58,893.68
12/25/2016,BTCUSD,893.68,900.33,860.76,789.08,697385.24,896.98
12/26/2016,BTCUSD,896.98,919.41,896.22,793.42,717607.63,905.57
12/27/2016,BTCUSD,905.57,941.19,900.86,2490.67,2319656.24,932.65
12/28/2016,BTCUSD,932.65,981.92,932.48,2510.09,2412458.09,981.92
12/29/2016,BTCUSD,981.92,985.43,950.3,1914.21,1850466.14,978.57
12/30/2016,BTCUSD,978.57,978.57,929.9,1629.33,1558808.1,966.71
12/31/2016,BTCUSD,966.71,974.55,950,764.88,735542.53,974.55
1/1/2017,BTCUSD,974.55,1003.54,965,1061.14,1052682.94,999.95
1/2/2017,BTCUSD,999.95,1035.9,995,1446.64,1472541.92,1020.23
1/3/2017,BTCUSD,1020.23,1038.26,1014.06,2179,2231435.06,1038
1/4/2017,BTCUSD,1038,1155.54,1032.73,3318.97,3612399.3,1142.15
1/5/2017,BTCUSD,1142.15,1167.16,879,6007.34,5971785.19,989.99
1/6/2017,BTCUSD,989.99,1025.56,879.1,6506.72,6112552.41,893.49
1/7/2017,BTCUSD,893.49,908.1,820.99,2263.37,1969093.18,898.75
