Date,Open,High,Low,Close,Volume,Market Cap
9-Nov-15,374.32,385.28,362.89,380.26,68224400.00,5635560843.00
10-Nov-15,379.98,381.39,329.11,336.82,95797904.00,4993021697.00
11-Nov-15,339.82,340.58,301.00,311.08,107070000.00,4612831323.00
12-Nov-15,314.08,345.08,313.36,338.15,78477800.00,5015563456.00
13-Nov-15,338.50,340.91,326.08,336.75,52003000.00,4996160115.00
14-Nov-15,336.62,338.18,329.97,332.91,38612000.00,4940266781.00
15-Nov-15,333.05,334.66,317.49,320.17,44213100.00,4752464063.00
16-Nov-15,319.73,331.63,315.90,330.75,47980100.00,4911040461.00
17-Nov-15,330.36,338.35,329.61,335.09,51001600.00,4976765824.00
18-Nov-15,334.59,336.53,330.64,334.59,43783800.00,4970560298.00
19-Nov-15,334.68,335.33,325.27,326.15,45011100.00,4846272452.00
20-Nov-15,326.41,326.47,312.22,322.02,53152900.00,4786301542.00
21-Nov-15,322.09,328.16,319.60,326.93,28200500.00,4860628038.00
22-Nov-15,326.98,327.01,321.26,324.54,23439400.00,4826466938.00
23-Nov-15,324.35,325.12,321.29,323.05,27478900.00,4805632296.00
24-Nov-15,323.01,323.06,318.12,320.05,29362600.00,4762244474.00
25-Nov-15,320.05,329.13,316.77,328.21,41666900.00,4884886822.00
26-Nov-15,328.30,366.76,328.23,352.68,106105000.00,5250750575.00
27-Nov-15,351.86,363.59,347.87,358.04,55179100.00,5331719786.00
28-Nov-15,357.14,359.54,352.17,357.38,36816600.00,5323252537.00
29-Nov-15,357.47,371.94,355.67,371.29,40409300.00,5531872177.00
30-Nov-15,371.44,382.36,370.38,377.32,71701600.00,5623195997.00
1-Dec-15,377.41,378.93,356.56,362.49,60452200.00,5403653927.00
2-Dec-15,361.85,362.23,349.46,359.19,54160500.00,5355891235.00
3-Dec-15,359.33,370.27,357.41,361.05,50714900.00,5384892776.00
4-Dec-15,361.26,363.52,355.76,363.18,35784100.00,5418154665.00
5-Dec-15,363.72,389.79,363.23,388.95,66282200.00,5804247032.00
6-Dec-15,389.55,402.81,387.09,388.78,77762000.00,5803305524.00
7-Dec-15,389.98,399.97,385.41,395.54,63455800.00,5905560136.00
8-Dec-15,395.75,415.56,389.95,415.56,57801400.00,6206381460.00
9-Dec-15,414.44,423.12,406.29,417.56,90917200.00,6238015413.00
10-Dec-15,417.99,419.51,411.55,415.48,52138900.00,6209105142.00
11-Dec-15,415.28,451.94,415.28,451.94,110944000.00,6755795193.00
12-Dec-15,452.33,469.10,410.74,435.00,131969000.00,6504325267.00
13-Dec-15,431.66,441.68,426.27,433.76,55050600.00,6487293999.00
14-Dec-15,433.27,447.14,430.46,444.18,130496000.00,6645395797.00
15-Dec-15,443.88,465.32,443.88,465.32,83121104.00,6963784692.00
16-Dec-15,465.21,465.21,443.85,454.93,107944000.00,6810202753.00
17-Dec-15,454.78,457.86,448.86,456.08,47978400.00,6829095335.00
18-Dec-15,455.85,465.18,454.94,463.62,60220100.00,6943912954.00
19-Dec-15,463.55,465.58,456.77,462.32,47892700.00,6926346391.00
20-Dec-15,462.23,462.64,434.34,442.68,75409400.00,6633988873.00
21-Dec-15,442.84,444.73,427.31,438.64,77639696.00,6574990256.00
22-Dec-15,437.44,443.69,435.52,436.57,50840400.00,6545633139.00
23-Dec-15,436.72,444.53,436.62,442.40,47161400.00,6634776277.00
24-Dec-15,443.09,458.46,443.08,454.98,57157200.00,6825070740.00
25-Dec-15,454.86,458.30,452.08,455.65,39078500.00,6836936569.00
26-Dec-15,455.76,457.49,405.76,417.27,116166000.00,6262844602.00
27-Dec-15,416.51,424.01,408.88,422.82,53591200.00,6348296234.00
28-Dec-15,423.34,429.77,418.48,422.28,49638600.00,6341733237.00
29-Dec-15,422.10,432.98,420.63,432.98,51596500.00,6504194854.00
30-Dec-15,433.30,434.39,422.08,426.62,46889400.00,6410381455.00
31-Dec-15,425.88,432.92,418.73,430.57,45996600.00,6471217491.00
1-Jan-16,430.72,436.25,427.52,434.33,36278900.00,6529299589.00
2-Jan-16,434.62,436.06,431.87,433.44,30096600.00,6517390487.00
3-Jan-16,433.58,433.74,424.71,430.01,39633800.00,6467429942.00
4-Jan-16,430.06,434.52,429.08,433.09,38477500.00,6515713340.00
5-Jan-16,433.07,434.18,429.68,431.96,34522600.00,6500393256.00
6-Jan-16,431.86,431.86,426.34,429.11,34042500.00,6458942098.00
7-Jan-16,430.01,458.77,429.08,458.05,87562200.00,6896279078.00
8-Jan-16,457.54,462.93,447.94,453.23,56993000.00,6825700454.00
9-Jan-16,453.38,454.64,446.89,447.61,32278000.00,6742767343.00
10-Jan-16,448.24,448.31,440.35,447.99,35995900.00,6750440386.00
11-Jan-16,448.70,450.66,443.86,448.43,40450000.00,6758931030.00
12-Jan-16,448.18,448.18,435.69,435.69,115607000.00,6568800100.00
13-Jan-16,434.67,435.19,424.44,432.37,173888000.00,6520360056.00
14-Jan-16,432.29,433.32,427.85,430.31,43945500.00,6490638885.00
15-Jan-16,430.26,430.26,364.33,364.33,153351008.00,5496598039.00
16-Jan-16,365.07,390.56,354.91,387.54,120352000.00,5848063566.00
17-Jan-16,387.15,390.96,380.09,382.30,45319600.00,5770478451.00
18-Jan-16,381.73,388.10,376.67,387.17,54403900.00,5845656048.00
19-Jan-16,387.03,387.73,378.97,380.15,46819800.00,5740934168.00
20-Jan-16,379.74,425.27,376.60,420.23,121720000.00,6347836794.00
21-Jan-16,419.63,422.88,406.30,410.26,68338000.00,6198658815.00
22-Jan-16,409.75,410.41,375.28,382.49,91546600.00,5780764155.00
23-Jan-16,382.43,394.54,381.98,387.49,56247400.00,5858059876.00
24-Jan-16,388.10,405.48,387.51,402.97,54824800.00,6093787908.00
25-Jan-16,402.32,402.32,388.55,391.73,59062400.00,5925345408.00
26-Jan-16,392.00,397.77,390.58,392.15,58147000.00,5933372928.00
27-Jan-16,392.44,396.84,391.78,394.97,47424400.00,5977545745.00
28-Jan-16,395.15,395.50,379.73,380.29,59247900.00,5756710303.00
29-Jan-16,380.11,384.38,365.45,379.47,86125296.00,5745985821.00
30-Jan-16,378.86,380.92,376.49,378.26,30284400.00,5729296096.00
31-Jan-16,378.29,380.35,367.83,368.77,37894300.00,5587253351.00
1-Feb-16,369.35,378.07,367.96,373.06,51656700.00,5653747618.00
2-Feb-16,372.92,375.88,372.92,374.45,40378700.00,5676528707.00
3-Feb-16,374.65,374.95,368.05,369.95,45933400.00,5609971377.00
4-Feb-16,370.17,391.61,369.99,389.59,69285504.00,5909517630.00
5-Feb-16,388.90,391.09,385.57,386.55,43825000.00,5865136968.00
6-Feb-16,386.59,386.63,372.39,376.52,49249300.00,5714879155.00
7-Feb-16,376.51,380.87,374.90,376.62,37076300.00,5718023735.00
8-Feb-16,376.76,379.88,373.33,373.45,47671100.00,5671240831.00
9-Feb-16,373.42,377.25,372.90,376.03,55318500.00,5712106127.00
10-Feb-16,376.15,385.48,375.78,381.65,85130896.00,5799042060.00
11-Feb-16,382.11,383.13,376.40,379.65,74375600.00,5770550973.00
12-Feb-16,379.69,384.95,379.60,384.26,67042800.00,5842238586.00
13-Feb-16,384.64,391.86,384.64,391.86,61911700.00,5959279526.00
14-Feb-16,392.93,407.23,392.93,407.23,74469800.00,6194711495.00
15-Feb-16,407.57,410.38,397.75,400.18,74070496.00,6089064891.00
16-Feb-16,401.43,408.95,401.43,407.49,73093104.00,6201590434.00
17-Feb-16,407.66,421.17,406.78,416.32,83193600.00,6337628174.00
18-Feb-16,416.57,426.00,415.64,422.37,76752600.00,6431547586.00
19-Feb-16,422.73,423.10,417.60,420.79,55711300.00,6408881658.00
20-Feb-16,421.60,441.98,421.60,437.16,93992096.00,6659985887.00
21-Feb-16,437.77,448.05,429.08,438.80,89820704.00,6686294225.00
22-Feb-16,438.99,439.05,432.92,437.75,85385200.00,6671673493.00
23-Feb-16,438.26,439.86,417.82,420.74,85244896.00,6413836323.00
24-Feb-16,420.96,425.55,413.91,424.95,67743696.00,6479395124.00
25-Feb-16,425.04,427.72,420.42,424.54,70798000.00,6474784226.00
26-Feb-16,424.63,432.15,421.62,432.15,61486000.00,6592327507.00
27-Feb-16,432.84,434.23,428.10,432.52,41893600.00,6599515471.00
28-Feb-16,432.57,435.68,423.82,433.50,53033400.00,6615986322.00
29-Feb-16,433.44,441.51,431.69,437.70,60694700.00,6681444705.00
1-Mar-16,437.92,439.65,432.32,435.12,74895800.00,6643686404.00
2-Mar-16,435.13,435.92,423.99,423.99,74955296.00,6475329604.00
3-Mar-16,423.91,425.37,419.41,421.65,100484000.00,6441066887.00
4-Mar-16,421.84,425.18,410.94,410.94,90856096.00,6279024638.00
5-Mar-16,410.78,411.26,394.04,400.57,135384992.00,6122091567.00
6-Mar-16,400.52,411.91,395.78,407.71,91212496.00,6232667872.00
7-Mar-16,407.76,415.92,406.31,414.32,85762400.00,6335164892.00
8-Mar-16,414.46,416.24,411.09,413.97,70311696.00,6331422309.00
9-Mar-16,413.89,416.03,411.61,414.86,70012304.00,6346735710.00
10-Mar-16,414.74,417.51,413.25,417.13,81022896.00,6383105414.00
11-Mar-16,417.24,423.93,417.01,421.69,73969696.00,6454555816.00
12-Mar-16,421.61,421.80,410.09,411.62,92712896.00,6301963440.00
13-Mar-16,411.65,416.60,411.64,414.07,74322800.00,6340701565.00
14-Mar-16,414.20,416.68,414.20,416.44,95259400.00,6378632901.00
15-Mar-16,416.39,418.13,414.98,416.83,66781700.00,6386304534.00
16-Mar-16,416.89,417.69,415.91,417.01,65185800.00,6390672724.00
17-Mar-16,417.89,421.00,417.89,420.62,83528600.00,6447467967.00
18-Mar-16,420.55,420.55,406.14,409.55,104940000.00,6279128504.00
19-Mar-16,409.27,410.98,407.23,410.44,58423000.00,6294271612.00
20-Mar-16,410.40,414.63,410.40,413.76,45947900.00,6346546570.00
21-Mar-16,413.42,413.42,410.38,413.31,61655400.00,6341110984.00
22-Mar-16,413.13,418.38,412.53,418.09,66813300.00,6416025151.00
23-Mar-16,418.16,419.27,417.36,418.04,61444200.00,6416845742.00
24-Mar-16,418.42,418.68,415.49,416.39,68346704.00,6393094869.00
25-Mar-16,416.51,418.08,415.56,417.18,52560000.00,6406608048.00
26-Mar-16,417.36,418.99,416.26,417.95,44650400.00,6420042696.00
27-Mar-16,418.14,428.80,417.71,426.77,71229400.00,6557030843.00
28-Mar-16,426.55,426.86,423.29,424.23,68522800.00,6519889575.00
29-Mar-16,424.30,426.20,412.68,416.52,75411504.00,6402954687.00
30-Mar-16,416.83,416.83,412.50,414.82,66034100.00,6378356002.00
31-Mar-16,415.26,418.37,415.26,416.73,60215200.00,6409062819.00
1-Apr-16,416.76,418.17,415.83,417.96,51235700.00,6429593619.00
2-Apr-16,418.42,422.08,418.42,420.87,45681200.00,6475857111.00
3-Apr-16,421.17,421.58,419.70,420.90,38053700.00,6477828309.00
4-Apr-16,421.30,422.34,419.60,421.44,50634300.00,6487898586.00
5-Apr-16,421.02,424.26,420.61,424.03,60718000.00,6529351750.00
6-Apr-16,424.28,424.53,422.73,423.41,59091000.00,6521491709.00
7-Apr-16,423.62,423.66,420.52,422.74,57858600.00,6512693215.00
8-Apr-16,422.91,425.36,419.64,420.35,63454700.00,6477294354.00
9-Apr-16,420.81,420.89,416.52,419.41,49792700.00,6464539022.00
10-Apr-16,419.59,422.43,419.26,421.56,73478600.00,6499536744.00
11-Apr-16,421.87,422.74,420.53,422.48,50747500.00,6515321585.00
12-Apr-16,422.84,427.28,422.84,425.19,70728800.00,6558651418.00
13-Apr-16,425.63,426.66,422.92,423.73,69060400.00,6537929600.00
14-Apr-16,423.93,425.37,423.01,424.28,45281000.00,6548113819.00
15-Apr-16,424.43,429.93,424.43,429.71,54801500.00,6633436610.00
16-Apr-16,429.58,432.63,428.98,430.57,39392800.00,6648182380.00
17-Apr-16,430.64,431.37,426.08,427.40,52125900.00,6600878376.00
18-Apr-16,427.61,429.27,427.09,428.59,55670900.00,6620723761.00
19-Apr-16,428.70,436.02,428.10,435.51,52810500.00,6729223763.00
20-Apr-16,435.32,443.05,434.41,441.39,72890096.00,6821898724.00
21-Apr-16,441.42,450.55,440.95,449.42,68204704.00,6947795903.00
22-Apr-16,449.69,449.81,444.15,445.74,58804400.00,6892364370.00
23-Apr-16,445.86,450.28,444.33,450.28,50485400.00,6964275296.00
24-Apr-16,450.56,460.15,448.93,458.55,68198400.00,7093731211.00
25-Apr-16,459.12,466.62,453.59,461.43,87091800.00,7139621427.00
26-Apr-16,461.65,467.96,461.62,466.09,78971904.00,7213507974.00
27-Apr-16,466.26,467.08,444.13,444.69,93564896.00,6883732526.00
28-Apr-16,445.04,449.55,436.65,449.01,74064704.00,6952183242.00
29-Apr-16,449.41,455.38,446.02,455.10,49258500.00,7048201013.00
30-Apr-16,455.18,455.59,447.70,448.32,69322600.00,6944860514.00
1-May-16,448.48,452.48,447.93,451.88,40660100.00,7001712750.00
2-May-16,451.93,452.45,441.78,444.67,92127000.00,6891791430.00
3-May-16,444.73,451.10,442.62,450.30,59366400.00,6980826502.00
4-May-16,450.18,450.38,445.63,446.72,50407300.00,6927161701.00
5-May-16,446.71,448.51,445.88,447.98,50440800.00,6948331748.00
6-May-16,447.94,461.38,447.07,459.60,72796800.00,7130556704.00
7-May-16,459.64,460.67,457.32,458.54,38364500.00,7115722136.00
8-May-16,458.43,459.42,455.98,458.55,40315000.00,7117822794.00
9-May-16,458.21,462.48,456.53,460.48,55493100.00,7149827444.00
10-May-16,460.52,461.93,448.95,450.89,58956100.00,7002714977.00
11-May-16,450.86,454.58,450.86,452.73,50605200.00,7032699388.00
12-May-16,452.45,454.95,449.25,454.77,59849300.00,7065960832.00
13-May-16,454.85,457.05,453.45,455.67,60845000.00,7081726955.00
14-May-16,455.82,456.84,454.79,455.67,37209000.00,7083394303.00
15-May-16,455.76,458.69,455.46,457.57,28514000.00,7114461730.00
16-May-16,457.59,458.20,452.95,454.16,59171500.00,7063120268.00
17-May-16,454.01,455.07,453.61,453.78,64100300.00,7058821457.00
18-May-16,453.69,456.00,453.30,454.62,86850096.00,7073564772.00
19-May-16,454.52,454.63,438.71,438.71,96027400.00,6827425412.00
20-May-16,437.79,444.05,437.39,442.68,81987904.00,6890716750.00
21-May-16,442.97,443.78,441.71,443.19,42762300.00,6900237725.00
22-May-16,443.22,443.43,439.04,439.32,39657600.00,6842082300.00
23-May-16,439.35,444.35,438.82,444.15,50582500.00,6919346395.00
24-May-16,444.29,447.10,443.93,445.98,65783100.00,6949432035.00
25-May-16,446.06,450.30,446.06,449.60,65231000.00,7007360094.00
26-May-16,449.67,453.64,447.90,453.38,65203800.00,7067871184.00
27-May-16,453.52,478.15,453.52,473.46,164780992.00,7382558440.00
28-May-16,473.03,533.47,472.70,530.04,181199008.00,8266477338.00
29-May-16,527.48,553.96,512.18,526.23,148736992.00,8209050618.00
30-May-16,528.47,544.35,522.96,533.86,87958704.00,8330000111.00
31-May-16,534.19,546.62,520.66,531.39,138450000.00,8293035755.00
1-Jun-16,531.11,543.08,525.64,536.92,86061800.00,8381321200.00
2-Jun-16,536.52,540.35,533.08,537.97,60378200.00,8399598923.00
3-Jun-16,537.68,574.64,536.92,569.19,122020000.00,8889102698.00
4-Jun-16,569.71,590.13,564.24,572.73,94925296.00,8945981422.00
