Symbol,Date,Open,High,Low,Close,Volume
ENGRO,09-Apr-2009,145.90,150.99,141.58,141.58,7790300
ENGRO,10-Apr-2009,144.00,149.90,141.25,149.75,4693600
ENGRO,13-Apr-2009,152.00,155.25,152.00,153.20,4329700
ENGRO,14-Apr-2009,153.39,154.20,145.73,145.73,4807700
ENGRO,15-Apr-2009,145.40,147.25,138.61,139.06,4354300
ENGRO,16-Apr-2009,142.01,146.19,137.25,139.00,7063400
ENGRO,17-Apr-2009,140.99,146.77,140.60,146.77,5259100
ENGRO,20-Apr-2009,148.00,153.70,147.51,151.85,4630800
ENGRO,21-Apr-2009,153.00,159.05,152.00,153.00,7130200
ENGRO,22-Apr-2009,155.00,156.10,146.47,146.47,4607600
ENGRO,23-Apr-2009,146.99,148.60,139.36,139.36,2436000
ENGRO,24-Apr-2009,139.40,146.63,137.26,146.63,2633700
ENGRO,27-Apr-2009,150.15,150.20,139.08,139.08,3268100
ENGRO,28-Apr-2009,137.21,143.20,132.13,138.80,6093600
ENGRO,29-Apr-2009,141.00,142.70,133.71,133.71,2814000
ENGRO,30-Apr-2009,132.50,136.40,128.25,131.00,2838000
ENGRO,04-May-2009,134.00,134.70,126.00,126.00,1959500
ENGRO,05-May-2009,126.55,129.00,123.01,124.00,1512400
ENGRO,06-May-2009,124.70,128.40,123.90,128.30,2085700
ENGRO,07-May-2009,129.00,130.10,124.60,128.01,2811400
ENGRO,08-May-2009,128.00,133.00,126.60,130.45,2727300
ENGRO,11-May-2009,131.00,135.30,131.00,134.49,2811900
ENGRO,12-May-2009,135.00,138.85,134.70,137.10,2149200
ENGRO,13-May-2009,138.25,144.00,136.25,137.50,7060700
ENGRO,14-May-2009,138.40,139.00,132.52,133.25,1880900
ENGRO,15-May-2009,134.51,136.50,131.50,133.81,1776300
ENGRO,18-May-2009,134.65,138.55,133.56,137.00,2825200
ENGRO,19-May-2009,137.99,139.60,136.00,136.20,2367800
ENGRO,20-May-2009,136.65,137.70,134.50,135.00,2235000
ENGRO,21-May-2009,133.11,133.53,130.05,132.88,1772800
ENGRO,22-May-2009,134.80,137.95,134.70,137.51,2347000
ENGRO,25-May-2009,137.89,141.80,136.30,139.30,3084100
